2021-01-01 00:00:00 Launching analysis for 1888380397 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2021-08-28 00:00:00 ROC: 3.8297223412812955
2021-08-31 00:00:00 ROC: 5.804292510787365
2021-09-01 00:00:00 ROC: 9.120685932414483
2021-09-02 00:00:00 ROC: 11.75151432953886
2021-09-03 00:00:00 ROC: 15.729898296673833
2021-09-04 00:00:00 ROC: 13.94519924981386
2021-09-08 00:00:00 ROC: 11.524295688358473
2021-09-09 00:00:00 ROC: 7.204794346815265
2021-09-10 00:00:00 ROC: 5.068058992555672
2021-09-11 00:00:00 ROC: 3.8281780170022546
2021-09-14 00:00:00 ROC: 3.241599845875223
2021-09-15 00:00:00 ROC: 0.08269821649903615
2021-09-16 00:00:00 ROC: -3.9623789582413105
2021-09-17 00:00:00 ROC: -1.5586338520545098
2021-09-18 00:00:00 ROC: -1.9027347859790336
2021-09-21 00:00:00 ROC: -5.236509187701829
2021-09-22 00:00:00 ROC: -11.858693837554846
2021-09-23 00:00:00 ROC: -12.10626867588597
2021-09-24 00:00:00 ROC: -8.597427184165818
2021-09-25 00:00:00 ROC: -5.043649976276671
2021-09-28 00:00:00 ROC: -2.5833113615861176
2021-09-29 00:00:00 ROC: -4.7169852953692395
2021-09-30 00:00:00 ROC: -11.905257514982663
2021-10-01 00:00:00 ROC: -14.385706218754756
2021-10-02 00:00:00 ROC: -15.51712290740116
2021-10-05 00:00:00 ROC: -10.826777671921223
2021-10-06 00:00:00 ROC: -10.824783866217297
2021-10-07 00:00:00 ROC: -7.511597067517955
2021-10-08 00:00:00 ROC: -8.366656358822986
2021-10-09 00:00:00 ROC: -8.43058081929513
2021-10-12 00:00:00 ROC: -10.0923835297189
2021-10-13 00:00:00 ROC: -9.915439817490151
2021-10-14 00:00:00 ROC: -2.7201801843639597
2021-10-15 00:00:00 ROC: 0.22223889518559795
2021-10-16 00:00:00 ROC: 6.9599468729066984
2021-10-19 00:00:00 ROC: 6.993070507781845
2021-10-20 00:00:00 ROC: 17.422713125218152
2021-10-21 00:00:00 ROC: 15.555737687819535
2021-10-22 00:00:00 ROC: 12.962078894453116
2021-10-23 00:00:00 ROC: 11.956434372122054
