2021-01-01 00:00:00 Launching analysis for 1446856053 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2021-10-26 00:00:00 ROC = 1.769353578644307
2021-10-27 00:00:00 ROC = -0.9708753845047081
2021-10-28 00:00:00 ROC = 0.32528851686135785
2021-10-29 00:00:00 ROC = 1.723103173413974
2021-10-30 00:00:00 ROC = 4.0016094396458675
2021-11-02 00:00:00 ROC = 0.5712447831934361
2021-11-03 00:00:00 ROC = 1.7624815878450741
2021-11-04 00:00:00 ROC = 2.811604800610176
2021-11-05 00:00:00 ROC = 2.7201838839583026
2021-11-06 00:00:00 ROC = -1.101710008875121
2021-11-09 00:00:00 ROC = -0.37536621093748335
2021-11-10 00:00:00 ROC = -2.8554740961450564
2021-11-11 00:00:00 ROC = -2.243113243057183
2021-11-12 00:00:00 ROC = -1.4685096096149979
2021-11-13 00:00:00 ROC = 2.2495516003764124
2021-11-16 00:00:00 ROC = -0.9046849993975469
2021-11-17 00:00:00 ROC = 2.757328031657031
2021-11-18 00:00:00 ROC = -0.11228794626046308
2021-11-19 00:00:00 ROC = 1.462028117839666
2021-11-20 00:00:00 ROC = 0.402429713394575
2021-11-23 00:00:00 ROC = -4.623790281983352
2021-11-24 00:00:00 ROC = -0.46031206452912254
2021-11-25 00:00:00 ROC = 2.97622541988201
2021-11-27 00:00:00 ROC = -3.5615796167900884
2021-11-30 00:00:00 ROC = 2.7858032297404223
2021-12-01 00:00:00 ROC = -3.6480359793772537
2021-12-02 00:00:00 ROC = -8.148759005744353
2021-12-03 00:00:00 ROC = 2.9983093197865225
2021-12-04 00:00:00 ROC = -6.199998855590749
2021-12-07 00:00:00 ROC = 1.9921642027725828
2021-12-08 00:00:00 ROC = 3.504974976322254
2021-12-09 00:00:00 ROC = 1.1197837212741695
2021-12-10 00:00:00 ROC = -3.395772621076255
2021-12-11 00:00:00 ROC = 1.0255154155923687
2021-12-14 00:00:00 ROC = -4.2992756289250735
2021-12-15 00:00:00 ROC = 0.8954093735618649
2021-12-16 00:00:00 ROC = 6.988891393289068
2021-12-17 00:00:00 ROC = -8.304889272132671
2021-12-18 00:00:00 ROC = 1.323658668592418
2021-12-21 00:00:00 ROC = 0.8757336755319531
2021-12-22 00:00:00 ROC = 3.9358041542194653
2021-12-23 00:00:00 ROC = 3.895100583154764
2021-12-24 00:00:00 ROC = 2.0410665326304827
2021-12-28 00:00:00 ROC = 3.7704250343137846
2021-12-29 00:00:00 ROC = -1.9512408505981107
2021-12-30 00:00:00 ROC = -0.13425703742733364
2021-12-31 00:00:00 ROC = -0.75540698755491
2022-01-01 00:00:00 ROC = -1.3639346410242634
2022-01-01 00:00:00 Algorithm Id:(1446856053) completed in 1.61 seconds at 0k data points per second. Processing total of 694 data points.
